,carat,cut,color,clarity,depth,table,price,x,y,z
0,0.23,IDEAL,E,SI2,61.5,55.0,326,3.95,3.98,2.43
1,0.21,PREMIUM,E,SI1,59.8,61.0,326,3.89,3.84,2.31
2,0.23,GOOD,E,VS1,56.9,65.0,327,4.05,4.07,2.31
3,0.29,PREMIUM,I,VS2,62.4,58.0,334,4.2,4.23,2.63
4,0.31,GOOD,J,SI2,63.3,58.0,335,4.34,4.35,2.75
5,0.24,VERY GOOD,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
6,0.24,VERY GOOD,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
7,0.26,VERY GOOD,H,SI1,61.9,55.0,337,4.07,4.11,2.53
8,0.22,FAIR,E,VS2,65.1,61.0,337,3.87,3.78,2.49
9,0.23,VERY GOOD,H,VS1,59.4,61.0,338,4.0,4.05,2.39
10,0.3,GOOD,J,SI1,64.0,55.0,339,4.25,4.28,2.73
11,0.23,IDEAL,J,VS1,62.8,56.0,340,3.93,3.9,2.46
12,0.31,IDEAL,J,SI2,62.2,54.0,344,4.35,4.37,2.71
13,0.2,PREMIUM,E,SI2,60.2,62.0,345,3.79,3.75,2.27
14,0.32,PREMIUM,E,I1,60.9,58.0,345,4.38,4.42,2.68
15,0.3,IDEAL,I,SI2,62.0,54.0,348,4.31,4.34,2.68
16,0.3,GOOD,J,SI1,63.4,54.0,351,4.23,4.29,2.7
17,0.3,GOOD,J,SI1,63.8,56.0,351,4.23,4.26,2.71
18,0.3,VERY GOOD,J,SI1,62.7,59.0,351,4.21,4.27,2.66
19,0.3,GOOD,I,SI2,63.3,56.0,351,4.26,4.3,2.71
20,0.23,VERY GOOD,E,VS2,63.8,55.0,352,3.85,3.92,2.48
21,0.23,VERY GOOD,H,VS1,61.0,57.0,353,3.94,3.96,2.41
22,0.31,VERY GOOD,J,SI1,59.4,62.0,353,4.39,4.43,2.62
23,0.31,VERY GOOD,J,SI1,58.1,62.0,353,4.44,4.47,2.59
24,0.23,VERY GOOD,G,VVS2,60.4,58.0,354,3.97,4.01,2.41
25,0.24,PREMIUM,I,VS1,62.5,57.0,355,3.97,3.94,2.47
26,0.3,VERY GOOD,J,VS2,62.2,57.0,357,4.28,4.3,2.67
27,0.23,VERY GOOD,D,VS2,60.5,61.0,357,3.96,3.97,2.4
28,0.23,VERY GOOD,E,VS1,60.7,59.0,402,3.97,4.01,2.42
29,0.23,VERY GOOD,E,VS1,59.5,58.0,402,4.01,4.06,2.4
30,0.23,VERY GOOD,D,VS1,61.9,58.0,402,3.92,3.96,2.44
31,0.23,GOOD,E,VS1,64.1,59.0,402,3.83,3.85,2.46
32,0.31,GOOD,H,SI1,64.0,54.0,402,4.29,4.31,2.75
33,0.26,VERY GOOD,D,VS2,60.8,59.0,403,4.13,4.16,2.52
34,0.33,IDEAL,I,SI2,61.8,55.0,403,4.49,4.51,2.78
